人工智能,大学物理II-2,大学英语i,大学英语iii1,大学计算机iii,工程制图,形式语言与编译,操作系统原理i,数字逻辑电路,数学建模ii,数据库系统,数理逻辑,概率统计与随机过程,模拟电子技术基础,电路,离散数学a,程序设计基础,线性代数与解析几何,编译器设计专题实验,计算机图形学,计算机组成,计算机网络原理,软件工程,高等数学I-1,高等数学I-2
89,81,0,0,0,68,76,82,61,87,76,0,71,66,80,92,89,90,80,74,72,60,78,92,93
0,0,79,0,68,73,0,0,0,0,0,0,0,0,0,0,86,84,0,0,0,0,0,71,68
94,90,0,85,0,86,85,93,85,90,76,94,87,86,86,83,90,88,84,100,92,92,86,84,87
80,83,0,0,87,83,77,75,66,94,72,0,72,0,83,76,87,74,72,88,75,81,0,76,60
0,68,88,0,89,69,73,64,74,0,67,0,63,0,62,70,89,84,73,0,60,64,0,0,0
96,93,87,0,83,95,92,89,85,0,90,0,85,0,86,90,97,82,89,0,93,97,0,78,97
95,84,77,0,78,89,89,83,87,88,82,0,70,0,71,90,84,65,81,0,91,80,0,66,79
94,0,84,0,89,75,71,79,68,94,77,0,76,0,78,69,94,74,88,0,72,83,0,81,77
0,89,0,79,0,77,70,81,71,0,80,88,81,65,79,66,88,80,85,81,83,84,75,89,78
0,80,0,0,0,0,67,67,0,0,76,0,84,0,60,72,0,82,82,0,70,60,0,0,0
0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,89,85
80,91,70,0,62,72,61,65,62,79,60,0,90,0,62,30,70,93,80,0,62,86,0,82,69
0,94,0,0,0,0,0,0,88,94,0,0,94,0,90,94,0,87,0,0,0,0,0,75,90
0,86,75,0,71,87,0,0,67,92,0,0,83,0,82,82,71,93,0,0,0,0,0,80,91
0,0,0,0,77,91,0,0,0,0,0,0,0,0,0,0,93,71,0,0,0,0,0,62,84
71,60,0,0,0,82,63,72,62,0,65,72,63,60,53,73,93,62,88,83,73,67,70,67,68
0,86,76,0,88,84,0,0,75,0,0,0,75,0,79,87,76,84,0,0,0,0,0,80,71
61,75,0,0,91,73,57,61,60,85,68,0,55,0,78,64,86,80,70,80,53,65,0,82,68
84,77,78,0,83,97,78,83,85,88,77,0,78,0,91,83,97,86,80,83,69,81,0,80,81
0,91,79,0,89,95,0,0,93,96,0,0,98,0,88,96,100,95,0,0,0,0,0,93,86
92,94,80,0,74,78,88,96,85,85,86,0,90,0,94,89,86,76,85,0,93,93,0,84,82
94,84,78,0,70,71,75,92,91,90,77,0,87,0,87,82,75,83,84,0,86,92,0,88,89
94,83,0,67,0,83,71,85,90,0,84,95,77,91,76,89,94,0,87,91,87,84,77,82,73
83,76,80,0,80,90,81,81,74,90,75,0,70,0,81,84,88,69,82,0,60,86,0,75,73
78,69,0,0,0,83,60,83,80,0,79,0,78,71,80,80,98,60,87,0,82,68,79,67,70
0,87,81,0,73,77,0,0,78,95,0,0,85,0,70,77,81,85,0,0,0,0,0,73,74
84,90,0,83,0,89,71,87,85,90,80,0,86,85,96,84,100,92,93,94,89,91,84,0,0
76,80,0,70,0,84,81,83,70,0,67,0,74,86,93,77,88,65,90,85,83,76,76,61,85
0,0,0,0,0,0,0,60,61,72,60,61,0,0,66,0,0,0,0,61,0,60,60,0,0
89,87,0,80,0,0,83,90,82,0,90,98,95,83,96,88,0,95,86,0,93,75,85,0,0
93,93,0,87,0,94,81,95,82,85,86,99,92,93,95,82,0,83,84,90,99,92,90,0,0
70,83,79,0,82,79,65,84,69,0,70,0,78,0,80,77,99,75,82,81,88,68,0,74,82
0,87,77,0,83,75,0,0,82,89,0,0,84,0,87,86,93,98,0,0,0,0,0,80,84
0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,82,60,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,75,0,0,0,89,0,0,0,0,0,0,0,0,0,0
0,88,87,0,89,70,0,0,70,91,0,0,81,0,63,91,91,84,0,0,0,0,0,78,67
89,78,0,80,0,90,74,88,87,0,60,96,94,89,91,64,81,76,88,91,85,75,60,63,60
0,77,0,84,0,75,61,80,62,0,76,0,71,85,65,69,84,76,73,73,62,76,79,65,78
0,99,72,0,85,98,77,91,91,0,87,0,88,0,94,95,97,97,80,93,90,88,0,91,94
0,78,0,0,80,74,0,0,70,93,0,0,95,0,69,83,99,85,0,0,0,0,0,90,79
0,85,79,0,85,93,86,91,83,84,86,0,90,0,97,86,90,91,84,0,75,86,0,75,87
88,77,81,0,85,81,0,78,79,84,81,0,90,0,77,93,100,92,96,89,68,73,0,87,90
89,96,83,0,88,93,87,94,88,95,88,0,86,0,88,83,82,83,84,0,89,96,0,89,94
0,79,0,81,0,81,78,84,79,95,79,87,71,90,94,90,92,83,76,69,81,75,71,87,83
0,88,86,0,0,0,0,0,86,90,0,0,87,0,92,94,0,70,0,0,0,0,0,67,76
70,90,0,73,0,75,65,68,66,81,70,0,72,78,70,76,86,69,86,63,60,60,65,70,61
0,86,0,68,0,95,85,92,87,96,90,88,84,93,85,85,100,79,72,92,95,90,77,79,79
62,83,0,70,0,63,81,60,66,0,68,70,77,65,81,86,91,87,86,65,66,62,70,94,93
0,0,0,0,83,82,0,0,0,0,0,0,0,0,0,0,79,95,0,0,0,0,0,92,85
83,89,80,0,0,0,83,90,80,91,83,0,80,0,95,89,94,93,90,90,83,91,0,90,90
0,0,72,0,78,91,0,0,0,0,0,0,0,0,0,0,91,94,0,0,0,0,0,92,91
0,91,0,0,98,88,79,97,87,90,92,0,83,0,96,85,99,90,90,92,91,90,0,86,87
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,77,0,0,0,0,0,0,0
86,83,0,89,0,95,87,90,83,0,88,0,94,87,99,84,0,95,89,60,90,60,82,0,0
84,60,0,71,0,66,61,82,70,0,69,86,70,69,73,69,87,84,84,87,83,65,68,64,68
81,91,0,72,0,72,61,83,76,93,80,89,86,86,65,76,94,94,83,0,78,80,83,86,87
0,86,87,0,83,87,73,0,67,72,67,0,77,0,87,82,98,84,85,0,0,0,0,64,79
88,95,0,87,0,75,79,95,65,0,91,95,88,95,93,99,91,99,80,0,80,84,86,93,95
72,61,0,79,0,77,63,63,61,80,65,71,65,85,63,69,92,81,74,79,65,60,65,80,74
0,93,80,0,84,86,0,0,72,94,0,0,100,0,97,92,79,94,0,0,0,0,0,75,78
0,89,80,0,89,91,0,0,85,88,0,0,97,0,91,85,94,97,0,0,0,0,0,85,90
0,96,78,0,84,91,81,84,85,85,84,0,88,0,88,92,62,90,71,83,93,75,0,72,77
71,65,0,78,0,80,73,60,60,0,60,0,71,89,62,63,92,75,85,0,66,70,60,65,70
81,80,0,75,0,70,71,76,84,92,73,76,78,70,77,83,99,91,65,79,70,77,66,76,89
73,68,0,79,0,85,73,69,66,92,72,79,79,61,61,66,84,81,67,77,77,72,70,73,67
96,98,0,82,0,87,90,90,94,0,85,94,95,83,99,95,97,96,96,0,97,96,84,92,93
89,94,0,77,0,90,86,91,86,87,80,0,67,97,97,91,89,93,97,89,92,91,88,90,95
94,0,0,79,0,66,84,93,94,100,95,99,89,96,98,94,98,0,90,0,94,96,90,85,94
0,0,0,0,87,91,0,0,0,0,0,0,0,0,0,0,92,96,0,0,0,0,0,91,85
74,88,0,75,0,72,75,77,80,96,79,0,81,87,93,84,97,80,76,83,73,71,75,0,0
93,90,0,67,0,78,84,90,82,0,84,92,73,78,80,84,87,77,83,0,87,82,84,86,82
0,72,0,60,0,75,64,68,66,0,62,0,60,81,64,68,73,60,84,67,77,60,71,63,78
0,63,0,0,0,0,69,73,71,75,80,0,71,0,68,83,0,84,82,83,60,70,0,0,0
0,75,0,0,0,88,0,0,66,88,0,0,64,0,0,75,0,93,0,0,0,0,0,0,0
0,0,77,0,85,86,0,0,0,0,0,0,0,0,0,0,95,76,0,0,0,0,0,85,84
0,0,0,0,0,0,0,0,0,0,0,60,0,0,19,0,0,0,0,0,0,0,0,0,0
0,91,79,0,95,92,79,92,95,95,85,0,96,0,98,89,97,90,91,0,89,87,0,91,85
0,0,80,0,78,93,0,0,0,0,0,0,0,0,0,0,93,89,0,0,0,0,0,89,84
81,90,0,0,0,86,80,83,83,88,81,0,88,0,83,85,100,85,83,93,74,85,76,86,85
0,0,89,0,89,88,0,0,85,0,0,0,96,0,99,95,97,100,0,0,0,0,0,91,94
88,84,0,0,0,82,75,82,70,0,78,86,90,90,86,76,89,94,80,71,75,87,84,94,97
0,87,0,81,0,74,65,83,72,90,70,0,77,81,83,84,88,90,80,76,65,67,77,94,88
92,96,0,76,0,0,82,91,91,0,86,92,88,92,97,93,98,0,80,0,95,94,90,81,92
0,91,79,0,0,0,75,92,86,81,86,0,81,0,91,78,90,87,84,82,89,94,80,82,95
76,66,0,0,0,76,64,82,80,0,71,71,78,86,68,64,83,65,80,0,75,67,82,62,74
0,0,0,0,90,97,0,0,78,89,0,0,72,0,77,86,83,91,0,0,0,0,0,77,80
0,0,87,0,91,81,76,87,88,0,85,0,87,0,93,93,96,92,94,83,81,87,0,92,79
0,71,0,0,84,85,0,0,79,93,0,0,61,0,63,73,91,89,0,0,0,0,0,78,75
86,77,0,74,0,71,63,83,74,0,60,80,84,81,87,76,0,0,85,71,79,64,69,0,0
0,0,74,0,75,90,0,0,0,0,0,0,0,0,0,0,94,94,0,0,0,0,0,90,91
91,88,0,76,0,91,92,96,80,0,82,88,86,98,91,74,84,86,80,0,91,84,91,80,88
0,87,79,0,87,90,0,0,83,86,0,0,87,0,73,86,79,95,0,0,0,0,0,86,89
71,70,76,0,75,87,0,67,68,79,60,0,61,0,63,69,92,74,83,0,69,54,0,72,68
0,70,0,0,0,0,0,0,60,0,0,0,0,61,60,0,0,0,0,0,0,51,0,0,0
75,0,85,0,75,80,79,89,71,95,76,0,74,0,91,82,75,74,83,83,80,89,0,71,75
0,0,79,0,82,87,0,0,0,0,0,0,0,0,0,0,89,87,0,0,0,0,0,91,91
86,96,79,0,73,88,88,83,86,87,91,0,84,0,97,88,95,83,88,86,68,82,0,82,86
0,91,0,0,0,0,68,0,0,0,0,0,67,0,71,73,0,87,0,0,0,0,0,0,0
76,73,0,70,0,63,60,80,67,0,81,0,63,80,60,73,90,87,78,0,67,67,71,71,63
98,89,0,0,0,80,82,82,85,98,77,0,67,94,72,76,77,85,85,88,86,92,69,81,79
83,91,0,0,0,92,64,81,82,0,80,0,76,83,80,82,84,89,76,85,80,80,84,85,81
0,0,80,0,84,80,0,0,0,0,0,0,0,0,0,0,77,86,0,0,0,0,0,90,76
0,83,84,0,92,93,60,62,66,76,65,0,65,0,81,73,64,83,80,0,28,49,0,82,78
82,88,0,82,0,73,72,78,85,0,81,81,77,93,80,81,89,74,82,0,68,60,85,67,80
0,0,77,0,78,79,0,0,0,0,0,0,0,0,0,0,89,100,0,0,0,0,0,91,96
96,95,0,83,0,0,70,81,78,99,91,0,88,86,75,88,88,0,74,99,77,87,80,0,0
60,85,0,81,0,92,71,87,78,0,87,97,90,96,98,81,88,72,79,0,60,60,78,87,87
95,93,78,0,83,97,83,94,81,88,87,0,87,0,95,92,90,80,70,88,86,93,0,77,80
89,88,79,0,90,85,92,90,81,88,87,0,84,0,90,82,86,70,93,96,70,86,0,62,85
0,0,76,0,90,87,0,0,0,0,0,0,0,0,0,0,92,85,0,0,0,0,0,81,78
0,42,0,0,0,0,0,0,0,0,0,0,35,0,11,62,0,64,0,0,1,32,0,70,65
91,0,0,0,85,88,96,84,83,86,88,0,83,0,96,94,80,93,88,0,83,82,0,93,91
84,87,0,0,0,75,81,88,92,100,80,94,75,81,84,91,80,92,81,85,69,85,73,85,87
94,93,0,80,0,80,91,89,85,100,83,85,87,93,83,95,92,96,70,0,82,81,92,85,97
96,83,0,0,0,78,73,91,82,91,84,0,80,77,73,88,94,67,96,94,88,85,85,73,73
0,73,81,0,86,84,0,0,52,80,0,0,38,0,74,60,75,91,0,0,0,0,0,76,79
0,0,83,0,79,84,0,0,0,0,0,0,0,0,0,0,100,92,0,0,0,0,0,88,93
78,79,0,85,0,80,60,94,64,82,73,87,75,82,92,71,91,85,79,0,75,80,72,90,81
76,81,0,73,0,73,66,64,68,71,61,73,87,69,78,72,83,94,82,0,63,66,67,91,88
85,89,0,86,0,96,81,85,85,0,82,90,94,93,95,87,95,94,79,0,87,84,85,91,85
78,84,0,82,0,88,75,86,87,87,76,76,93,89,87,75,88,75,88,0,80,82,80,76,82
0,86,0,77,0,94,85,86,79,84,78,0,78,88,84,85,98,0,71,87,82,85,80,84,89
91,77,78,0,83,65,80,91,86,86,75,0,68,0,82,69,83,82,74,0,85,93,0,84,72
0,0,83,0,76,87,0,0,0,0,0,0,0,0,0,0,93,94,0,0,0,0,0,93,88
0,90,73,0,81,84,81,84,89,90,87,0,84,0,90,94,77,90,88,97,85,90,0,70,72
92,92,84,0,0,0,70,85,81,0,82,0,74,0,90,86,95,93,86,86,75,89,0,83,91
76,87,84,0,77,79,60,67,75,93,71,0,69,0,86,92,93,80,79,80,84,69,0,81,79
90,0,87,0,0,0,79,97,94,92,85,0,90,0,92,98,100,96,74,0,86,95,0,96,96
78,87,0,75,0,89,74,76,78,100,80,92,80,87,87,87,76,90,81,93,80,78,77,88,81
89,92,0,80,0,90,77,88,81,0,85,98,93,94,90,92,96,95,97,95,90,83,81,91,88
89,0,0,0,86,72,72,80,86,0,77,0,90,0,92,95,83,80,78,85,85,91,0,85,60
88,0,0,87,0,87,83,87,89,0,76,90,84,92,91,90,99,93,76,90,86,77,73,89,86
0,94,78,0,0,0,0,0,82,92,0,0,98,0,86,93,97,90,0,0,0,0,0,79,93
82,88,75,0,84,79,78,87,87,74,80,0,82,0,97,85,100,87,85,0,69,76,0,78,88
78,84,0,74,0,83,71,83,72,0,75,0,82,86,88,82,83,93,80,0,92,87,82,89,90
0,0,80,0,74,77,0,0,0,0,0,0,0,0,0,0,96,75,0,0,0,0,0,77,65
0,77,0,0,85,86,0,0,89,91,0,0,78,0,63,64,77,83,0,0,0,0,0,74,67
90,86,79,0,90,81,77,86,83,83,86,0,87,0,94,90,85,85,87,92,74,78,0,81,87
0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,79,0,70,0,88,71,88,85,0,64,89,83,89,91,88,91,80,85,0,81,72,73,78,76
98,87,0,91,0,79,84,92,90,0,82,98,97,92,98,76,91,98,90,0,97,88,84,91,91
20,24,0,71,0,23,0,20,20,60,30,20,21,26,20,28,61,31,79,20,34,20,39,73,84
0,88,84,0,88,94,62,83,71,0,73,0,60,0,82,87,87,73,88,91,86,72,0,81,82
79,81,76,0,73,81,0,92,86,90,84,0,74,0,78,90,66,90,76,87,64,84,0,83,73
96,81,0,82,0,65,68,72,81,97,83,83,70,90,76,80,71,90,87,89,85,78,86,84,86
74,70,0,0,0,74,69,77,75,0,72,96,94,85,94,78,82,87,91,0,80,67,74,79,74
66,70,0,0,0,0,79,73,76,85,81,0,66,66,78,83,0,70,70,78,81,81,65,41,0
84,96,0,90,0,67,80,86,84,0,83,86,77,78,85,85,90,85,91,92,80,83,80,90,90
73,51,0,71,0,66,61,82,55,71,77,0,51,63,52,60,81,63,77,78,82,69,74,63,60
0,84,80,0,88,92,0,0,68,85,0,0,61,0,70,81,91,81,0,0,0,0,0,74,82
81,72,0,72,0,63,60,72,87,69,60,0,66,75,62,60,77,64,79,0,64,60,69,61,61
0,0,78,0,0,0,0,0,94,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,72,0,66,0,62,72,78,74,0,74,83,76,79,64,83,89,78,85,0,66,75,82,85,83
