xh,高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
fc44712d781d22fba1cb42c3d9ea1dd8,89,,98,91,92,93,86,85,73,86,91,92,91,96,92,89,74,92,83,92,83,91,,88,88,87,85,92,95,,88,85,98,85,98,97,92
deffc6f15fb70f19864074509d82ee54,95,96,87,99,97,93,93,93,95,88,94,87,92,94,91,93,87,98,93,92,87,94,,90,88,88,87,92,95,94,93,84,87,78,87,84,87
05af79aa2b30e10718b9715628d56ef1,90,85,87,,79,94,84,86,80,86,86,83,87,96,,87,80,92,73,87,87,88,98,93,88,95,86,92,100,89,96,82,83,80,92,75,83
a54bd4028d374b1137bf135c14d3a5dc,92,91,87,93,92,85,74,93,86,82,90,87,89,94,91,93,81,98,78,92,89,84,98,95,89,89,84,98,95,94,94,90,92,82,87,83,87
037185000eec6fdae6276577215fd361,81,96,87,88,88,84,89,79,86,70,88,87,82,92,85,95,81,92,71,92,91,80,98,90,86,93,84,87,95,94,94,87,87,81,83,82,87
82694bcd671ecaa3cab4525a14b48e40,77,85,87,89,75,87,85,72,67,77,80,92,96,80,84,64,63,98,76,83,87,68,94,82,64,66,68,83,95,,,61,83,62,87,65,87
55c2eb065860db0e9f46cf1a0ec6fef1,67,,83,87,49,66,,60,45,67,63,70,86,73,74,49,47,87,0,92,47,50,90,,55,60,60,62,30,51,,60,70,60,85,60,76
3c8e6dfaf4bc144af8cfbd1ee4373d6f,,91,92,96,,94,,84,75,69,90,87,79,97,87,87,72,92,85,83,87,87,,93,84,82,77,92,95,77,92,82,92,77,87,94,83
2e284adf71f746f1107013da8f8d73e4,87,89,87,95,81,68,85,89,86,81,94,87,87,95,91,96,66,98,67,92,76,90,100,94,86,88,96,92,95,94,89,83,87,76,87,84,87
fbc902573c5f9417d97be3efba72cc62,85,90,92,95,83,97,93,75,75,80,81,87,87,89,77,87,61,92,69,90,80,72,97,87,66,74,64,79,95,70,78,76,76,68,92,68,83
3c0212aede09a7bc05bf8c8d042ce7a8,,91,79,96,,94,,94,80,88,90,92,94,94,92,72,68,92,72,92,81,79,98,,60,72,78,83,95,81,94,78,79,81,92,79,70
0984b552a3c4d8a607827062997a36d6,77,79,87,87,77,81,73,67,71,77,70,83,86,79,83,94,74,92,66,98,87,80,91,,83,74,79,92,95,77,83,82,83,77,92,95,83
46545be4f29dafc770b66323a0da94e7,81,,87,93,77,90,64,82,88,86,93,83,95,95,87,97,92,98,70,92,90,90,98,98,80,90,88,98,95,,87,77,73,75,87,80,87
e25383e3c6807c1acb059d1683b64f46,,,,89,,,,78,,87,84,,91,,87,88,74,87,87,98,,83,,93,80,76,79,92,,75,,84,,,,,83
8a3b246245fca8630be637f13df63662,86,93,83,83,80,93,65,86,88,82,90,87,95,94,92,88,82,98,76,79,91,84,93,89,81,80,80,87,95,81,,80,87,76,87,89,92
81d34011ca12c3c1f16acba8f1e78485,,,98,94,,97,,89,84,87,76,92,92,94,93,93,84,92,80,92,90,88,100,92,88,85,89,98,95,86,97,83,92,88,92,94,87
037cec4dadc56de5bf5ab7438211b253,89,,87,95,92,89,88,82,86,89,89,87,95,93,88,95,85,98,84,87,90,89,98,97,85,87,81,87,95,92,,75,83,83,87,88,87
deae09feb20b932fd22750b5c5591d97,77,82,92,80,69,74,70,67,64,68,77,83,76,74,79,71,63,87,73,92,77,68,,,75,80,76,83,95,82,84,61,98,78,92,70,87
91031e57081aa9206fb530541f50ee1c,83,,83,95,82,86,88,76,78,86,89,87,95,92,93,91,85,98,90,92,90,88,,88,90,85,87,92,95,92,86,83,92,84,98,86,83
720e61c93e69bafc057d5c39d8dbe643,20,32,70,20,20,20,58,20,,20,20,,20,20,20,0,0,,0,0,0,,,69,0,0,0,30,0,0,0,,,,,,
b9ea7f9b2b7baede7ed83bd08884d5e7,90,,92,92,86,86,84,84,79,91,86,87,94,93,94,94,78,98,85,92,87,83,,90,85,85,90,92,96,84,95,79,83,76,92,87,83
77ee4b0c77270d3d3af841cae31be413,,,,,,66,,89,79,81,88,92,91,92,84,92,67,87,78,92,85,79,98,,84,92,88,98,100,87,97,79,98,81,98,92,87
7e170473357ca133790da425e47f6cb5,80,,87,90,95,93,95,86,81,90,91,92,88,90,90,100,82,92,77,92,96,93,98,97,89,82,83,98,95,95,,86,92,92,83,90,92
0d3cc8d08399d3b3fec55fa7bc663849,,70,,77,,,,60,45,,76,79,,61,,63,39,62,0,0,60,32,66,69,60,61,60,30,30,39,61,60,62,34,30,10,
553f296a861ef56d7171c68daf9d1e5a,89,90,87,94,89,89,92,90,86,86,91,87,92,93,86,98,80,98,89,92,94,86,98,94,92,92,93,92,95,97,,86,98,85,98,94,92
061e38f755e5eb31b5767dba729dc332,87,81,83,91,64,91,99,80,66,83,89,73,83,86,79,88,73,92,76,98,84,70,96,90,75,80,74,70,73,67,83,80,87,73,85,65,83
d9c7ed83c467956cb6b13f0d6efc6376,91,82,87,,77,95,71,81,74,88,89,87,87,92,,96,81,87,82,92,91,92,97,,83,95,82,98,95,87,92,86,83,80,87,10,83
d6801c063ddc5f6a0698d1fdad47bd93,72,76,87,76,69,85,81,67,60,70,71,83,79,72,71,64,70,87,65,87,61,64,81,,62,60,68,83,95,71,72,62,66,66,87,75,83
201eb7b089c51c82e912d532eb081c49,85,,83,,94,98,66,98,89,91,94,98,92,97,,96,84,92,90,87,94,95,100,99,94,93,96,98,100,94,,95,98,90,98,98,83
8c5fbdafa2da054648da2aac1e87148d,84,,87,86,64,95,84,62,66,76,79,76,83,94,83,80,76,92,66,92,84,79,91,,71,77,67,87,95,88,86,81,87,80,92,79,87
ce64972c977bffc4c44b0ace1fb67c45,,,,64,,,,65,,60,60,,76,,65,72,60,87,0,83,,60,,,78,60,69,30,74,,,,73,,30,,70
2d99c722c49d097ad251d3fb984b8701,95,87,92,96,94,91,88,94,90,84,95,87,95,87,90,79,75,87,80,92,94,88,97,93,81,85,81,98,95,94,100,85,92,88,83,89,92
98d2b988ff8ae19f40954434c738f4df,81,90,83,90,79,92,88,90,75,89,91,87,92,90,90,77,73,92,79,87,78,85,98,92,88,91,92,92,100,,92,89,87,85,87,78,83
4ce8b4ba80785313c5391df9ef11c13b,75,,87,86,81,71,89,83,66,83,88,92,92,89,93,90,82,92,90,98,89,90,98,95,88,88,86,98,100,90,93,70,92,88,92,81,83
92b691ca910c3d58c0523bdf1a05409c,76,81,87,92,72,82,88,77,74,76,75,92,87,90,89,79,67,98,73,92,70,74,98,84,70,76,78,92,95,79,89,78,79,84,98,82,76
6cf5bb6080a1fd280af86a02fa1acee9,82,,87,87,88,95,88,81,75,89,89,87,95,95,89,91,75,92,80,83,87,83,99,90,84,74,65,79,95,67,92,77,87,63,83,81,87
f4b2a2395eb6eca75ffefd285b7a0713,96,,,,92,,97,96,87,89,93,87,92,97,93,94,83,98,82,83,90,87,,,81,71,77,98,95,66,87,88,98,64,62,88,92
1c5f39813c2dd4b027b46379f8633086,79,79,83,92,79,100,95,85,84,86,85,87,83,89,86,93,85,98,72,92,87,85,96,88,95,92,90,98,100,,92,90,98,77,98,76,87
7ba3d956c24fe33b76aa0f69f5019a28,91,,87,92,88,94,94,94,93,89,89,87,96,99,94,96,87,87,87,98,94,93,100,96,92,94,88,98,100,95,,90,92,87,87,99,98
6152b59f52a644a119e8435dd40933cc,,88,87,96,,98,,95,88,90,92,92,95,92,92,98,90,98,83,92,95,93,97,94,88,97,86,98,95,92,90,83,92,86,87,84,87
03ba0341fd4b27be826e86f3e230c3c3,95,91,87,92,86,91,74,84,81,66,74,87,85,79,76,80,67,87,65,87,83,66,96,,76,71,68,87,95,74,84,76,76,62,79,79,70
694c45ca3034ade8dc17154117a45153,92,,87,,92,78,88,85,91,88,92,87,91,95,,96,87,92,92,87,98,93,100,98,79,90,84,98,95,97,99,87,92,90,87,95,87
363d55a4ea19140407ab50d7bdd9a5e8,75,90,87,,81,93,94,85,89,87,80,83,92,86,,82,74,92,84,92,78,,94,93,73,68,60,98,95,60,67,61,87,60,87,81,87
9c065e4e998a87fd1cdd443e3a7ca439,76,85,87,93,84,77,84,71,78,80,72,79,88,82,77,65,65,92,85,87,75,77,96,74,67,63,64,62,73,42,84,73,87,73,83,,79
2039bf330cdc311565cf6caaf3f25358,,,,,,97,,93,81,87,84,83,87,86,88,87,75,87,76,92,80,85,96,,73,77,71,87,97,74,83,79,98,75,87,,83
ac29c578a09ff59617b72a0defc983f2,77,,83,85,83,91,79,84,71,83,87,87,92,90,84,88,74,87,73,76,84,60,92,,80,77,80,87,95,65,87,76,87,63,87,79,92
