xh,24式太极拳,专业实习II,专业实习Ⅰ,中国近现代史纲要,习近平新时代中国特色社会主义思想概论,人工智能,优化方法基础,体育-1,体育-2,体育-3,体育-4,军训,国防教育,大学化学,大学化学实验,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语I,大学英语III1,大学英语III2,大学计算机III,工程与社会,工程制图,形势与政策,形式语言与编译,思想道德修养与法律基础,操作系统原理I,操作系统设计专题实验,数字逻辑电路,数学建模II,数据库系统,数据结构与程序设计专题实验,数据结构与算法I,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,毕业设计（论文）,毛泽东思想和中国特色社会主义理论体系概论,汇编语言,测控实习,生命科学基础I,电子技术实验1,电子技术实验2,电工实习,电路,离散数学A,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,表达与交流,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,课外实践8学分,软件定义网络,软件工程,金工实习,面向对象程序设计,项目设计,马克思主义基本原理,高等数学I-1,高等数学I-2
0300eb4fa8026f960aeafc28107d63c6,0,0,0,83.0,81,0,0,85,92,96,88,96,85,81,95,94.0,81,92,92,85,0,0,81,0,88,0,0,0,0,0,72,84.0,0,85,85,0.0,67,85,0,0,85,80,98,0,92,73,87,80,84.0,86,82,65,0,0,0,0.0,0,0,0,0,0,0,0,0,92,83,0,77,66,77
0322605d7c7cae189425a4ad84eb4074,83,98,97,81.0,0,86,80,0,0,75,85,74,88,0,0,93.0,90,87,87,0,79,80,0,95,79,60,68,82,83,87,82,0.0,85,79,82,0.0,79,0,90,83,83,71,70,83,98,87,87,92,80.0,69,90,91,72,81,90,89.0,92,85,95,83,79,60,84,75,92,73,83,76,87,82
037185000eec6fdae6276577215fd361,68,79,87,83.0,0,94,0,0,0,82,83,92,90,0,0,88.0,85,87,87,0,85,84,0,89,89,60,81,80,93,87,91,98.0,87,82,70,90.0,86,0,95,87,92,80,76,85,92,92,87,79,88.0,84,82,96,71,85,94,0.0,83,86,95,87,84,60,82,81,87,92,92,81,81,88
037cec4dadc56de5bf5ab7438211b253,86,87,89,77.0,0,92,0,0,0,87,81,85,84,0,0,95.0,88,87,87,0,85,79,0,84,88,60,85,80,87,87,90,98.0,75,95,89,97.0,86,0,95,87,82,89,83,88,98,87,92,82,89.0,89,0,0,84,73,0,0.0,87,85,95,83,81,60,88,83,92,93,83,76,89,92
03ba0341fd4b27be826e86f3e230c3c3,80,87,92,72.0,0,74,0,0,0,68,65,89,91,0,0,92.0,76,87,87,0,0,0,0,84,74,60,67,85,71,87,83,96.0,76,85,66,0.0,81,0,80,70,80,66,79,95,87,87,83,84,74.0,91,0,91,65,73,84,0.0,79,76,95,76,68,60,79,62,92,79,76,73,95,86
03c5cd7bb6f02dc0f568d5b3eb2dbd68,64,92,92,85.0,0,88,0,0,0,0,0,88,87,0,0,90.0,80,87,79,0,76,83,0,96,85,60,88,71,90,98,89,88.0,77,92,83,89.0,80,0,71,87,83,83,98,79,87,92,92,78,77.0,92,79,80,91,74,0,91.0,85,80,98,87,88,60,90,76,92,92,83,82,82,89
03d29d08cd361c57beaf3ad87b59975e,65,98,83,78.0,0,60,74,0,0,0,0,86,74,0,0,67.0,80,83,85,0,84,89,0,74,80,0,70,68,60,92,65,0.0,82,0,83,0.0,90,0,60,0,85,80,98,86,92,92,87,87,84.0,90,60,71,79,92,0,77.0,79,60,79,92,60,60,92,82,92,92,92,86,68,78
03ee80113b2a951843a282f45ee9bc7a,70,83,79,86.0,0,84,84,0,0,0,0,82,89,0,0,63.0,72,85,86,0,78,74,0,95,67,0,65,86,83,92,76,0.0,66,0,90,85.0,77,0,87,0,88,75,92,87,76,83,87,89,71.0,77,88,73,81,84,0,86.0,92,85,83,92,75,60,84,70,92,77,92,86,64,72
0409f58b09458ce5c3deb73e7a33e56e,0,98,93,85.0,0,87,0,0,0,92,84,80,89,0,0,92.0,88,92,87,0,76,82,0,92,0,60,87,90,87,98,94,97.0,78,92,85,94.0,80,0,99,92,89,93,92,0,98,87,92,85,83.0,97,0,0,85,83,96,0.0,92,92,100,92,87,60,91,87,92,97,87,92,91,87
0460037d235555c245b406d2468cb056,0,97,92,87.0,0,89,74,0,77,71,0,89,89,0,0,86.0,86,87,87,0,75,82,0,87,80,60,65,85,65,76,84,0.0,80,95,71,80.0,66,0,62,83,80,0,79,0,98,87,92,78,91.0,89,0,85,74,79,86,90.0,98,77,90,79,81,60,76,72,92,83,92,83,79,71
04c636ebecf2c1250ca1c4102e00e71c,0,92,92,85.0,0,73,0,0,0,76,69,85,83,0,0,97.0,87,87,87,0,74,81,0,83,87,60,73,78,75,87,68,96.0,79,83,74,0.0,66,0,79,73,82,82,92,0,92,92,87,79,86.0,93,87,81,71,87,0,89.0,83,80,95,76,60,60,73,68,92,0,83,79,64,75
05501d6a7e4dca7a7c6678c80cf28b53,0,0,0,81.0,93,0,0,85,82,77,83,83,84,0,0,0.0,0,83,87,73,0,0,78,0,90,0,0,0,0,0,83,95.0,0,98,95,0.0,97,98,0,0,86,0,98,79,87,98,83,86,88.0,95,90,89,0,0,0,90.0,0,0,0,0,0,0,0,0,92,88,0,80,85,82
058fcfc9ae0a44eda11a547dba6d66f0,0,0,0,86.0,85,0,0,87,92,90,92,88,83,79,99,0.0,0,87,92,77,0,0,86,0,74,0,0,0,0,0,78,85.0,0,87,89,0.0,76,95,0,0,89,0,73,0,92,79,87,91,86.0,76,84,85,0,0,0,0.0,0,0,0,0,0,0,0,0,92,84,0,86,70,75
05af79aa2b30e10718b9715628d56ef1,60,95,99,87.0,0,89,0,0,0,87,80,83,85,0,0,0.0,0,87,83,0,78,83,0,85,84,60,80,85,95,92,87,98.0,82,87,86,93.0,80,0,87,83,84,88,92,82,92,87,87,86,86.0,94,0,85,73,78,96,0.0,92,88,100,83,86,60,75,80,92,96,76,84,90,79
