人工智能,优化方法基础,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语i,大学英语iii1,大学英语iii2,大学计算机iii,工程制图,形式语言与编译,操作系统原理i,操作系统设计专题实验,数字逻辑电路,数学建模ii,数据库系统,数据结构与程序设计专题实验,数据结构与算法i,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,汇编语言,电子技术实验1,电子技术实验2,电路,离散数学a,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络,软件工程,面向对象程序设计,高等数学I-1,高等数学I-2
76,67,82.0,61,85,92,,63,63,,88,74,78,92,78,,84,73,79,,60,,63,80,87,79,71,80.0,98,76,77,89,85,84.0,85,83,92,76,72,89,80,96,71,62
,,89.0,,83,,78,,,69,86,,,,,,,,,,,,,,,,,,90,,87,,,,,,,,,,,,80,76
80,79,61.0,74,84,81,,79,80,,76,65,61,92,86,,67,,71,82.0,80,,81,73,83,98,68,75.0,87,,78,83,76,82.0,83,73,83,92,72,79,80,84,65,72
96,,,,87,87,,76,82,,80,85,92,98,91,99.0,94,92,93,95.0,90,,97,96,92,87,92,96.0,94,95,98,85,,,87,95,95,87,96,87,84,,95,96
78,,96.0,93,98,92,86,,,92,93,69,92,92,78,93.0,82,87,79,,88,90,,,83,87,90,84.0,85,79,87,81,84,87.0,76,88,70,87,88,89,,89,85,87
70,78,86.0,84,83,87,,75,79,,80,60,60,79,68,,72,83,80,,71,,75,72,87,87,85,84.0,94,,89,80,70,87.0,85,69,70,76,62,87,78,87,86,81
,,88.0,,83,,,,,68,70,,,,,,,,,,,,,,,,,,79,,88,,,,,,,,,,,,87,78
89,,84.0,81,86,86,,,,,68,76,82,94,61,87.0,76,,,,71,,66,86,70,76,80,92.0,89,84,90,80,74,83.0,92,72,83,88,60,77,78,91,92,93
,,75.0,,98,,79,,,68,73,,,,,,,,,,,,,,,,,,86,,84,,,,,,,,,,,,71,68
94,,88.0,90,88,92,,85,85,,86,85,93,98,85,90.0,76,100,85,94.0,87,,86,93,92,98,86,83.0,90,,88,84,100,91.0,92,92,79,87,92,,86,84,84,87
80,,88.0,83,98,98,,,,87,83,77,75,92,66,94.0,72,76,72,,72,85,,80,92,87,83,76.0,87,66,74,72,88,81.0,76,75,79,87,81,,,81,76,60
,70,82.0,68,87,87,88,,,89,69,73,64,62,74,,67,83,,,63,68,,60,73,88,62,70.0,89,,84,73,,84.0,76,60,92,92,64,72,,81,,
96,85,89.0,93,92,92,87,,,83,95,92,89,98,85,,90,92,94,,85,96,,,92,87,86,90.0,97,89,82,89,,95.0,76,93,88,98,97,,,93,78,97
95,,81.0,84,87,92,77,,,78,89,89,83,92,87,88.0,82,87,78,,70,85,,,87,92,71,90.0,84,75,65,81,,93.0,,91,92,87,80,88,,88,66,79
94,,,,87,87,84,,,89,75,71,79,98,68,94.0,77,83,78,,76,72,,77,83,87,78,69.0,94,87,74,88,,86.0,98,72,98,87,83,,,94,81,77
,77,82.0,89,89,98,,79,78,,77,70,81,92,71,,80,83,81,88.0,81,,65,68,92,76,79,66.0,88,74,80,85,81,87.0,88,83,79,76,84,87,75,87,89,78
,68,70.0,80,98,92,,,,,,67,67,83,,,76,,,,84,,,82,,,60,72.0,,,82,82,,87.0,,70,88,87,60,,,,,
,,,,83,,74,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,89,85
80,62,79.0,91,,,70,,,62,72,61,65,,62,79.0,60,,70,,90,87,,,30,,62,30.0,70,80,93,80,,60.0,,62,,,86,,,66,82,69
,,93.0,94,92,92,,,,,,,,,88,94.0,,87,93,,94,99,,,92,87,90,94.0,,89,87,,,,,,,,,,,93,75,90
,,96.0,86,98,98,75,,,71,87,,,,67,92.0,,87,82,,83,68,,,87,87,82,82.0,71,76,93,,,90.0,,,,,,,,80,80,91
,,87.0,,92,,,,,77,91,,,,,,,,,,,,,,,,,,93,,71,,,93.0,,,,,,,,,62,84
71,73,60.0,60,86,85,,,,,82,63,72,92,62,,65,,62,72.0,63,,60,76,79,81,53,73.0,93,83,62,88,83,89.0,83,73,92,92,67,60,70,87,67,68
,,91.0,86,87,87,76,,,88,84,,,,75,,,87,91,,75,93,,87,87,76,79,87.0,76,85,84,,,91.0,,,,,,,,93,80,71
61,,80.0,75,92,87,,,,91,73,57,61,83,60,85.0,68,79,77,,55,71,,,92,87,78,64.0,86,70,80,70,80,81.0,10,53,76,92,65,82,,,82,68
84,,92.0,77,87,87,78,,,83,97,78,83,92,85,88.0,77,79,87,,78,80,,87,92,87,91,83.0,97,78,86,80,83,87.0,76,69,98,83,81,,,93,80,81
,,95.0,91,98,98,79,,,89,95,,,,93,96.0,,98,100,,98,98,,95,92,87,88,96.0,100,91,95,,,,,,,,,,,96,93,86
92,,84.0,94,92,98,80,,,74,78,88,96,92,85,85.0,86,83,77,,90,89,,,83,79,94,89.0,86,89,76,85,,93.0,,93,80,87,93,,,96,84,82
94,,89.0,84,83,79,78,,,70,71,75,92,92,91,90.0,77,87,84,,87,94,,87,79,83,87,82.0,75,72,83,84,,70.0,76,86,85,87,92,,,90,88,89
94,76,86.0,83,87,87,,67,80,,83,71,85,92,90,,84,88,88,95.0,77,,91,91,98,76,76,89.0,94,81,,87,91,91.0,87,87,95,92,84,84,77,87,82,73
83,,88.0,76,87,83,80,,,80,90,81,81,92,74,90.0,75,77,79,,70,78,,80,92,81,81,84.0,88,65,69,82,,89.0,76,60,79,92,86,,,82,75,73
78,82,64.0,69,81,87,,,,,83,60,83,92,80,,79,,95,,78,,71,76,83,87,80,80.0,98,91,60,87,,83.0,98,82,87,98,68,94,79,96,67,70
,,87.0,87,83,83,81,,,73,77,,,,78,95.0,,92,82,,85,95,,,87,83,70,77.0,81,81,85,,,,,,,,,,,93,73,74
84,88,89.0,90,,92,,83,82,,89,71,87,92,85,90.0,80,89,82,,86,,85,,92,98,96,84.0,100,,92,93,94,90.0,92,89,79,83,91,,84,94,,
76,82,85.0,80,84,87,,70,75,,84,81,83,98,70,,67,,88,,74,,86,88,79,83,93,77.0,88,84,65,90,85,87.0,87,83,87,98,76,81,76,94,61,85
,14,,,,,,,,,,,60,,61,72.0,60,87,,61.0,,63,,60,60,79,66,,,,,,61,,62,,62,,60,9,60,,,
89,95,89.0,87,91,91,,80,88,,,83,90,98,82,,90,,87,98.0,95,,83,90,92,85,96,88.0,,87,95,86,,92.0,92,93,98,92,75,79,85,,,
93,,90.0,93,,87,,87,87,,94,81,95,92,82,85.0,86,,96,99.0,92,,93,97,92,79,95,82.0,,82,83,84,90,91.0,98,99,98,98,92,90,90,,,
70,75,88.0,83,83,87,79,,,82,79,65,84,62,69,,70,76,82,,78,71,,87,87,87,80,77.0,99,78,75,82,81,86.0,76,88,79,87,68,,,92,74,82
,,93.0,87,92,98,77,,,83,75,,,,82,89.0,,92,80,,84,98,,,92,87,87,86.0,93,88,98,,,93.0,,,,,,,,90,80,84
,,,,,,,,,97,,,,,,,,,,,,,,,,,,,82,,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,75,79,90,,,,,91,,,89,,,84,,,,,,,,,,,,,,
,,87.0,88,98,92,87,,,89,70,,,,70,91.0,,92,87,,81,67,,,83,83,63,91.0,91,,84,,,90.0,,,,,,,,85,78,67
89,93,67.0,78,63,85,,80,77,,90,74,88,92,87,,60,,83,96.0,94,,89,93,92,83,91,64.0,81,83,76,88,91,81.0,60,85,87,66,75,,60,75,63,60
,77,77.0,77,84,81,,84,78,,75,61,80,87,62,,76,,,,71,,85,71,70,87,65,69.0,84,78,76,73,73,64.0,83,62,80,89,76,77,79,89,65,78
,90,99.0,99,92,92,72,,,85,98,77,91,98,91,,87,92,98,,88,94,,,70,92,94,95.0,97,91,97,80,93,81.0,76,90,85,92,88,,,96,91,94
,,77.0,78,87,92,,,,80,74,,,,70,93.0,,92,74,,95,60,,,92,73,69,83.0,99,77,85,,,,,,,,,,,92,90,79
,,96.0,85,98,83,79,,,85,93,86,91,92,83,84.0,86,83,85,,90,94,,84,92,79,97,86.0,90,79,91,84,,92.0,,75,90,87,86,,,93,75,87
88,81,83.0,77,92,98,81,,,85,81,,78,98,79,84.0,81,98,85,,90,85,,,79,98,77,93.0,100,82,92,96,89,92.0,,68,96,87,73,,,96,87,90
89,,93.0,96,98,87,83,,,88,93,87,94,98,88,95.0,88,83,90,,86,94,,91,92,87,88,83.0,82,79,83,84,,94.0,85,89,98,98,96,98,,,89,94
,,94.0,79,83,87,,81,85,,81,78,84,92,79,95.0,79,86,86,87.0,71,,90,89,87,90,94,90.0,92,92,83,76,69,84.0,62,81,90,83,75,85,71,87,87,83
,,92.0,88,92,92,86,,,,,,,,86,90.0,,87,100,,87,97,,,92,83,92,94.0,,84,70,,,,,,,,,,,96,67,76
