形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理
72,90,92,74,76,77,98,87,86
73,77,92,85,84,80,87,83,86
87,84,98,88,91,86,87,87,86
80,74,92,74,75,63,95,76,86
81,81,92,75,82,60,79,92,86
56,80,98,74,80,79,91,79,86
0,74,98,76,87,81,87,87,86
82,88,98,70,90,88,100,92,86
65,85,79,77,76,81,95,92,86
67,82,92,90,86,78,79,87,86
86,89,98,84,86,87,98,92,85
0,91,98,91,93,87,94,87,85
82,88,98,86,83,94,98,98,85
91,94,92,87,83,94,98,92,85
0,94,98,88,83,83,83,87,85
63,81,92,70,85,79,79,83,85
80,83,92,81,83,74,94,87,85
85,96,97,77,85,86,80,93,85
80,89,92,85,80,85,83,98,85
68,89,98,76,74,80,98,87,85
67,97,98,86,92,97,98,92,85
90,89,92,94,86,84,93,87,85
83,90,98,88,88,70,87,76,85
85,89,98,81,80,84,98,98,85
76,78,72,75,88,69,78,85,85
84,92,98,87,86,89,98,98,85
74,84,92,73,65,81,97,92,85
78,86,90,84,79,76,90,87,85
78,88,71,71,80,86,71,87,85
89,85,92,84,83,81,80,92,85
86,87,98,89,89,92,98,92,85
78,88,93,72,80,72,78,90,85
72,85,92,80,87,90,79,79,85
83,88,79,80,89,87,70,76,85
85,83,98,82,87,71,96,98,85
73,91,98,84,96,88,83,87,85
85,86,76,78,71,82,95,87,85
74,80,79,73,82,71,62,79,85
81,88,87,80,81,69,95,76,85
74,83,98,71,73,85,98,87,85
77,79,98,85,74,80,95,87,85
74,87,92,85,83,88,95,98,85
83,89,98,79,82,77,95,87,85
75,81,92,80,82,75,79,92,85
80,91,83,88,76,78,95,76,85
66,82,66,60,68,70,0,0,85
73,87,98,89,75,88,79,87,84
73,91,92,83,77,85,76,92,84
88,90,98,91,93,78,92,92,84
81,85,92,82,79,87,79,83,84
91,94,92,83,81,77,82,87,84
0,86,87,0,0,75,92,0,84
70,90,98,67,88,92,98,87,84
83,89,98,84,87,87,100,92,84
87,90,98,87,92,79,95,92,84
83,86,87,74,74,86,95,79,84
84,82,92,79,87,75,78,93,84
81,88,92,87,85,69,92,92,84
79,95,96,91,80,80,88,90,84
83,87,98,79,96,92,92,83,84
87,79,92,90,76,83,95,87,84
75,82,92,79,70,89,95,79,84
83,93,92,90,82,83,72,92,84
81,93,87,87,71,86,95,87,84
92,96,90,82,80,91,90,87,84
81,89,98,90,78,89,95,92,84
67,87,92,87,83,79,83,83,84
84,91,91,75,86,86,70,89,84
81,77,76,80,76,91,95,73,84
