大学物理II-2,大学物理实验I-1,操作系统设计专题实验,数字逻辑电路,概率统计与随机过程,电路,离散数学a,线性代数与解析几何
91,98,0,88,91,89,97,95
85,83,92,83,64,89,75,81
80,79,92,78,90,89,79,92
92,83,83,76,87,89,86,80
90,92,98,90,78,89,91,87
0,0,0,0,0,89,0,0
91,87,92,76,86,89,94,89
0,83,87,81,85,89,87,89
0,87,83,83,87,89,90,93
80,79,87,65,65,89,76,63
0,92,98,89,90,89,90,83
85,87,87,84,78,89,72,87
0,87,0,84,95,89,95,99
90,87,0,89,93,89,92,99
92,87,98,90,73,89,84,0
94,79,98,81,86,89,92,82
93,83,98,79,79,89,86,89
96,87,30,0,78,89,0,61
94,92,98,85,89,89,92,92
95,98,0,85,93,89,95,98
93,98,0,80,73,89,92,83
84,0,98,85,79,89,88,0
96,87,0,89,91,89,97,99
93,98,98,90,84,89,76,0
88,92,98,85,78,89,82,77
76,87,87,86,81,89,82,71
91,92,66,78,90,89,84,80
89,89,98,77,88,89,88,89
94,87,98,94,90,89,90,87
89,87,0,84,92,89,91,88
85,98,0,83,94,89,91,92
88,92,92,89,85,89,86,80
91,92,87,90,81,89,80,90
81,83,92,77,81,89,83,89
85,98,92,92,84,89,92,80
86,92,0,82,90,89,94,87
80,92,92,71,84,89,81,92
90,87,98,85,86,89,87,87
89,83,92,83,75,89,81,84
87,87,92,76,78,89,78,88
83,92,92,83,81,89,88,79
87,84,85,92,87,88,72,76
86,85,92,81,82,88,94,88
92,92,98,83,88,88,87,75
89,84,92,82,84,88,88,89
78,87,0,86,80,88,95,89
69,90,92,66,70,88,70,77
91,98,0,93,98,88,96,95
96,98,98,88,86,88,83,83
96,98,92,85,88,88,92,90
84,82,92,72,82,88,82,93
74,77,92,62,90,88,62,68
78,92,98,81,69,88,82,77
93,87,98,89,78,88,78,99
89,92,0,88,89,88,92,88
87,92,98,87,76,88,77,92
82,80,92,74,81,88,75,81
86,92,98,71,70,88,81,63
91,87,92,94,92,88,97,96
91,87,92,80,76,88,84,90
89,82,87,88,71,88,86,72
85,78,92,86,91,88,82,83
89,87,98,75,82,88,81,82
82,85,92,70,83,88,84,97
82,92,98,91,82,88,86,74
89,83,0,89,93,88,96,84
