大学英语i,大学计算机iii,数理逻辑,模拟电子技术基础,汇编语言,软件工程
0,0,86,83,86,79
0,95,0,0,0,0
0,74,0,0,0,0
0,0,0,0,82,0
0,94,0,0,97,0
0,96,0,0,0,0
0,80,0,0,0,0
0,80,0,0,0,0
0,0,0,69,72,66
0,0,91,74,91,84
0,0,0,61,86,84
0,0,81,92,0,96
0,0,0,68,80,78
81,85,0,0,0,0
0,0,0,0,20,0
0,0,0,70,68,68
0,60,0,0,0,0
0,0,0,93,88,0
0,72,0,0,0,0
78,85,0,0,0,0
0,0,0,91,88,87
82,81,0,0,0,0
0,0,0,0,43,0
84,82,0,0,0,0
0,0,0,86,84,63
68,82,0,0,0,0
0,0,0,95,82,73
0,0,99,88,89,89
0,0,95,90,90,88
0,76,0,0,0,0
85,79,0,0,0,0
76,80,0,0,86,0
0,0,95,83,77,68
74,79,0,0,88,0
0,0,81,78,90,76
78,0,0,0,0,0
0,0,77,70,79,71
82,92,0,0,0,0
90,0,0,0,0,0
75,0,0,0,0,0
0,0,95,88,94,76
0,0,91,98,90,90
86,83,0,0,0,0
0,0,79,60,82,69
0,0,0,0,95,0
82,80,0,0,0,0
0,0,0,76,67,60
0,0,0,61,85,81
83,81,0,0,0,0
81,78,0,0,91,0
0,0,85,77,83,83
70,79,0,0,80,0
79,66,0,0,0,0
0,0,85,95,90,89
0,0,93,98,92,86
73,76,0,0,0,0
0,82,0,0,82,0
71,80,0,0,0,0
69,75,0,0,0,0
0,0,91,84,87,78
0,0,90,86,86,80
0,0,88,63,77,85
0,0,88,86,84,75
78,76,0,0,0,0
86,87,0,0,0,0
80,0,0,0,0,0
0,0,65,73,81,74
78,84,0,0,0,0
81,91,0,0,0,0
78,90,0,0,90,0
84,86,0,0,0,0
0,0,91,84,90,0
0,84,0,0,0,0
74,72,0,0,87,0
78,84,0,0,75,0
75,80,0,0,96,0
67,85,0,0,0,0
0,88,0,0,0,0
0,0,94,98,86,85
0,0,89,93,83,80
0,0,0,49,50,60
85,84,0,0,0,0
0,0,79,87,86,77
83,92,0,0,0,0
0,0,0,93,82,81
76,0,0,0,0,0
0,0,0,0,0,0
75,85,0,0,0,0
0,0,0,97,94,92
0,0,82,83,88,78
0,0,0,0,0,0
69,78,0,0,76,0
0,0,71,77,68,77
0,88,0,0,90,0
79,0,0,0,0,0
67,0,85,68,0,60
0,0,0,60,71,68
0,0,0,81,84,81
0,0,88,67,92,82
78,90,0,0,0,0
80,90,0,0,0,0
0,0,80,60,84,79
0,0,90,87,89,91
78,81,0,0,0,0
0,0,92,97,92,87
0,0,81,72,83,76
0,0,0,71,98,77
0,0,72,84,60,72
84,81,0,0,85,0
76,80,0,0,0,0
0,0,75,88,74,74
0,0,92,96,87,93
79,88,0,0,80,0
0,0,86,81,90,81
79,86,0,0,0,0
0,85,0,0,0,0
0,88,0,0,0,0
83,74,0,0,0,0
82,82,0,0,0,0
0,0,98,96,97,94
71,85,0,0,0,0
81,82,0,0,0,0
0,0,0,0,0,0
81,83,0,0,0,0
0,0,91,79,87,85
69,77,0,0,76,0
0,94,0,0,0,0
80,77,0,0,0,0
0,0,87,78,89,83
0,0,85,93,88,92
77,85,0,0,85,0
0,0,78,65,86,78
0,0,81,60,73,72
0,0,89,98,87,86
75,64,0,0,0,0
0,0,93,84,90,81
81,72,0,0,0,0
0,84,0,0,0,0
0,0,0,67,76,85
0,0,0,64,68,76
81,90,0,0,0,0
0,84,0,0,0,0
0,0,78,60,62,77
0,87,0,0,0,0
0,0,0,0,87,0
88,73,0,0,77,0
86,75,0,0,0,0
72,65,0,0,0,0
0,0,84,86,93,87
0,0,94,98,93,86
0,0,0,0,77,71
76,87,0,0,0,0
0,0,0,76,89,83
80,86,0,0,92,0
0,0,90,94,0,87
0,0,61,77,0,65
0,0,83,96,88,92
83,86,0,0,0,0
89,92,0,0,0,0
83,0,0,0,0,0
0,0,0,67,90,73
86,93,0,0,81,0
73,0,0,0,0,0
0,0,91,84,85,84
0,0,84,81,90,75
75,79,0,0,0,0
0,80,0,0,0,0
0,0,88,89,92,79
79,85,0,0,0,0
84,93,0,0,0,0
0,0,66,64,72,62
0,0,88,96,87,77
81,87,0,0,0,0
82,80,0,0,0,0
74,74,0,0,69,0
76,78,0,0,0,0
87,91,0,0,0,0
74,89,0,0,0,0
0,88,0,0,0,0
0,0,0,70,0,62
80,78,0,0,0,0
74,71,0,0,0,0
0,0,85,86,85,73
0,0,87,69,88,73
76,80,0,0,0,0
75,81,0,0,76,0
0,0,87,86,86,87
0,0,0,0,0,0
87,92,0,0,0,0
0,83,0,0,91,0
0,0,0,0,0,0
0,79,0,0,0,0
74,82,0,0,74,0
82,0,0,0,0,0
79,78,0,0,62,53
0,0,0,72,60,60
0,0,87,80,82,76
77,78,0,0,69,0
0,82,0,0,64,0
0,0,98,96,93,90
0,0,89,88,86,75
74,73,0,0,0,0
71,82,0,0,0,0
0,0,85,74,87,72
0,83,0,0,0,0
82,83,0,0,0,0
84,77,0,0,0,0
73,0,0,0,82,0
88,71,0,0,20,0
83,85,0,0,0,0
0,77,0,0,0,0
0,81,0,0,0,0
83,89,0,0,0,0
0,0,72,60,74,69
72,0,0,0,92,0
0,91,0,0,87,0
0,0,0,86,88,74
89,62,0,0,0,0
0,60,0,0,0,0
0,0,82,0,90,0
0,92,0,0,89,0
74,93,0,0,0,0
0,0,0,83,71,74
0,0,0,72,88,80
0,0,87,95,91,77
83,0,0,0,0,0
0,0,90,91,83,63
0,0,0,94,90,67
0,0,82,85,90,81
78,80,0,0,0,0
0,0,0,71,75,80
0,0,0,0,94,0
79,69,0,0,78,0
85,93,0,0,90,0
0,0,94,94,90,86
0,0,0,95,97,88
0,0,0,0,0,0
69,80,0,0,0,0
88,89,0,0,0,0
0,0,85,87,74,67
0,0,88,92,81,78
0,0,0,70,76,79
0,0,90,93,92,73
0,0,90,94,91,76
0,0,96,87,95,86
0,0,0,0,0,0
0,0,0,91,84,62
0,0,79,81,89,80
87,89,0,0,0,0
79,84,0,0,0,0
0,0,61,61,61,68
0,76,0,0,0,0
0,0,0,62,72,78
86,76,0,0,0,0
0,0,82,79,81,67
74,87,0,0,86,0
0,0,69,0,0,0
76,83,0,0,0,0
0,83,0,0,0,0
73,76,0,0,0,0
83,94,0,0,0,0
0,0,82,81,81,80
0,0,0,86,82,75
0,0,0,0,0,0
70,85,0,0,87,0
77,80,0,0,0,0
0,0,87,64,88,75
69,87,0,0,0,0
0,0,0,84,83,85
0,0,94,97,93,68
0,0,0,92,93,80
0,85,0,0,0,0
0,76,0,0,0,0
0,81,0,0,0,0
0,94,0,0,0,0
0,79,0,0,0,0
0,82,0,0,0,0
0,0,83,62,87,77
85,88,0,0,0,0
0,95,0,0,0,0
0,86,0,0,0,0
0,0,90,97,85,75
77,0,0,0,0,0
87,77,0,0,70,0
77,92,0,0,0,0
0,0,0,92,79,81
0,0,86,96,69,65
84,93,0,0,0,0
