高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
84,0,87,86,64,95,84,62,66,76,79,76,83,94,83,80,76,92,66,92,84,79,91,0,71,77,67,87,95,88,86,81,87,80,92,79,87
0,0,0,64,0,0,0,65,0,60,60,0,76,0,65,72,60,87,0,83,0,60,0,0,78,60,69,30,74,0,0,0,73,0,30,0,70
95,87,92,96,94,91,88,94,90,84,95,87,95,87,90,79,75,87,80,92,94,88,97,93,81,85,81,98,95,94,100,85,92,88,83,89,92
81,90,83,90,79,92,88,90,75,89,91,87,92,90,90,77,73,92,79,87,78,85,98,92,88,91,92,92,100,0,92,89,87,85,87,78,83
75,0,87,86,81,71,89,83,66,83,88,92,92,89,93,90,82,92,90,98,89,90,98,95,88,88,86,98,100,90,93,70,92,88,92,81,83
76,81,87,92,72,82,88,77,74,76,75,92,87,90,89,79,67,98,73,92,70,74,98,84,70,76,78,92,95,79,89,78,79,84,98,82,76
82,0,87,87,88,95,88,81,75,89,89,87,95,95,89,91,75,92,80,83,87,83,99,90,84,74,65,79,95,67,92,77,87,63,83,81,87
96,0,0,0,92,0,97,96,87,89,93,87,92,97,93,94,83,98,82,83,90,87,0,0,81,71,77,98,95,66,87,88,98,64,62,88,92
79,79,83,92,79,100,95,85,84,86,85,87,83,89,86,93,85,98,72,92,87,85,96,88,95,92,90,98,100,0,92,90,98,77,98,76,87
91,0,87,92,88,94,94,94,93,89,89,87,96,99,94,96,87,87,87,98,94,93,100,96,92,94,88,98,100,95,0,90,92,87,87,99,98
0,88,87,96,0,98,0,95,88,90,92,92,95,92,92,98,90,98,83,92,95,93,97,94,88,97,86,98,95,92,90,83,92,86,87,84,87
95,91,87,92,86,91,74,84,81,66,74,87,85,79,76,80,67,87,65,87,83,66,96,0,76,71,68,87,95,74,84,76,76,62,79,79,70
92,0,87,0,92,78,88,85,91,88,92,87,91,95,0,96,87,92,92,87,98,93,100,98,79,90,84,98,95,97,99,87,92,90,87,95,87
75,90,87,0,81,93,94,85,89,87,80,83,92,86,0,82,74,92,84,92,78,0,94,93,73,68,60,98,95,60,67,61,87,60,87,81,87
76,85,87,93,84,77,84,71,78,80,72,79,88,82,77,65,65,92,85,87,75,77,96,74,67,63,64,62,73,42,84,73,87,73,83,0,79
0,0,0,0,0,97,0,93,81,87,84,83,87,86,88,87,75,87,76,92,80,85,96,0,73,77,71,87,97,74,83,79,98,75,87,0,83
77,0,83,85,83,91,79,84,71,83,87,87,92,90,84,88,74,87,73,76,84,60,92,0,80,77,80,87,95,65,87,76,87,63,87,79,92
92,0,87,95,80,73,90,74,70,69,78,87,92,75,81,79,60,98,74,92,64,71,97,83,72,65,64,79,95,84,95,70,83,60,83,0,79
82,0,92,88,76,91,83,86,74,77,73,87,83,86,79,60,74,98,67,92,70,69,97,84,78,87,83,92,100,79,96,84,87,91,98,81,92
83,87,83,91,85,71,80,75,83,84,81,87,95,90,83,87,78,87,75,83,90,74,97,85,70,75,76,92,95,86,84,74,79,67,92,79,83
85,89,92,94,81,84,92,80,76,90,82,87,96,97,91,83,64,92,76,87,82,69,0,0,80,81,80,83,95,83,85,80,76,84,87,0,83
63,0,0,95,76,100,97,75,77,87,94,79,87,94,88,68,85,83,66,90,70,85,0,89,90,89,64,98,100,89,82,92,92,78,98,96,76
73,81,87,78,67,84,85,61,79,76,66,92,79,80,68,61,73,92,67,92,66,71,92,79,77,69,72,66,95,73,77,72,87,70,92,83,83
0,78,0,78,0,0,0,69,65,0,74,73,0,0,68,78,65,70,77,62,83,76,0,0,74,88,72,66,75,81,93,66,73,61,98,72,79
91,92,87,86,89,65,89,60,74,71,77,87,76,62,82,67,75,98,66,88,60,60,96,0,73,70,71,87,72,74,79,61,62,60,76,0,83
87,90,87,94,67,84,90,74,82,82,88,83,79,85,66,60,81,87,72,87,85,90,97,0,79,82,87,92,97,94,91,84,87,86,87,87,83
0,86,87,82,0,89,0,76,70,78,81,87,90,76,87,89,72,92,80,92,90,72,96,89,67,80,75,87,95,68,92,74,73,79,92,68,87
95,98,87,0,96,94,80,92,90,93,96,87,92,0,0,97,85,92,85,87,91,96,99,95,95,92,96,98,95,96,0,94,87,84,87,87,87
0,90,83,97,0,95,0,74,79,89,84,83,95,88,94,85,74,92,89,92,84,84,93,81,86,86,84,87,95,89,0,76,83,70,83,78,83
87,97,87,94,80,93,98,84,86,84,92,79,96,91,85,91,81,92,79,92,88,87,100,93,88,87,83,92,95,76,85,82,92,69,92,85,62
0,80,87,0,0,99,0,86,87,85,85,83,87,96,78,93,73,87,71,92,87,82,98,0,86,85,87,92,95,88,94,81,98,81,92,94,92
0,0,87,96,0,86,0,89,73,86,84,87,88,90,92,96,72,98,87,87,90,88,99,83,82,91,84,98,100,96,97,84,98,92,98,91,92
80,72,92,0,70,62,65,85,64,75,60,87,92,73,0,71,63,98,65,87,83,64,96,0,67,66,62,83,95,76,79,74,83,61,92,0,79
84,0,87,87,74,69,83,71,73,69,70,87,92,85,75,81,93,92,87,92,92,81,99,82,67,74,67,87,95,76,0,76,87,80,87,84,83
91,0,83,99,86,97,91,86,79,83,86,87,87,92,87,94,85,92,90,98,87,90,91,0,84,91,83,92,100,74,0,68,76,67,87,74,92
79,85,87,86,71,89,80,78,66,71,91,87,95,83,86,62,65,0,74,87,84,0,0,80,77,65,81,76,90,89,86,80,79,72,98,76,83
90,88,87,96,93,86,74,92,88,85,90,87,95,93,93,95,77,87,71,92,93,88,98,0,79,86,77,98,100,70,0,85,87,82,87,86,87
0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,89,73,0,0,0,0,0,0,0,0,0,78,0,78,0,0,0
81,93,83,85,76,79,80,77,81,88,85,83,87,95,84,76,70,70,62,87,79,79,96,0,66,77,84,87,90,0,74,72,76,61,79,75,70
77,85,87,98,80,79,66,92,76,86,79,87,92,92,86,75,63,92,78,92,73,72,90,82,72,68,73,92,95,56,0,74,87,64,87,76,73
79,0,79,90,79,77,79,85,85,85,85,87,91,93,86,93,82,92,84,87,87,83,98,89,69,86,89,92,97,84,92,76,87,80,92,87,83
73,81,87,89,83,73,71,75,73,76,79,87,83,88,77,85,90,87,77,98,71,74,97,0,79,77,74,83,95,83,87,76,87,73,87,91,87
86,85,87,0,86,96,78,77,60,78,78,83,88,86,0,83,62,98,74,76,79,71,0,0,60,69,73,92,95,0,84,70,76,74,92,0,87
0,0,87,90,0,100,0,82,84,92,82,87,77,97,88,97,89,92,76,92,91,94,99,0,90,88,94,92,100,95,92,86,98,90,87,0,87
0,0,0,0,0,0,0,0,70,84,0,0,91,87,0,0,0,0,0,0,0,0,96,0,83,87,90,98,0,0,77,73,0,0,0,0,0
84,0,76,92,89,98,94,84,78,86,85,79,95,95,86,88,85,83,71,76,79,78,84,0,82,86,85,76,95,0,87,78,87,80,98,85,83
87,83,83,94,83,92,81,94,71,86,90,87,86,87,79,90,78,87,76,90,79,89,95,87,81,84,75,92,90,0,69,79,83,71,62,85,87
63,0,92,88,70,96,95,74,74,81,89,92,92,81,85,96,72,98,67,92,76,69,99,86,67,94,84,73,93,72,94,77,79,65,92,79,79
80,60,67,60,85,61,61,63,63,83,67,83,92,86,69,68,72,87,67,87,63,0,93,85,60,63,60,66,92,60,79,70,73,60,92,0,87
89,93,87,0,86,99,87,91,84,84,90,87,87,89,0,92,83,92,76,87,89,90,0,90,86,87,77,92,95,88,90,76,70,73,87,0,87
0,80,83,91,0,93,0,78,70,76,85,83,96,98,83,76,64,98,80,92,80,88,0,77,83,80,76,92,95,68,0,79,87,72,83,86,83
95,90,87,97,93,97,91,88,88,86,92,87,96,94,94,94,84,87,85,92,87,90,0,97,95,97,90,98,100,98,0,84,92,84,92,94,79
97,98,83,96,92,99,81,91,92,85,93,87,87,94,83,89,84,92,94,92,83,89,0,90,87,86,80,98,97,72,90,81,83,81,92,0,87
85,84,83,90,78,76,71,77,71,76,74,83,87,89,88,82,80,87,75,87,83,0,96,87,63,74,86,92,95,87,83,74,76,71,87,80,70
87,83,92,0,70,88,71,80,83,82,83,87,89,86,0,94,82,98,77,92,83,86,0,93,78,74,75,87,95,80,94,75,79,75,92,81,87
67,78,0,85,77,94,84,87,62,91,90,87,98,89,79,82,80,98,76,87,83,76,0,95,78,91,85,83,95,92,98,88,76,80,87,86,92
83,0,87,89,79,88,84,83,83,83,91,83,98,92,85,91,75,92,90,92,86,76,98,92,72,80,71,92,95,75,97,81,83,67,87,85,87
0,0,87,96,0,88,0,75,88,84,88,87,82,92,95,86,70,98,74,92,78,81,99,0,77,81,87,92,95,96,99,91,76,80,98,77,87
0,0,0,0,0,91,94,71,61,91,83,83,88,88,0,86,81,98,80,83,80,84,94,87,78,77,76,92,95,91,92,72,87,78,87,82,83
96,91,87,95,95,100,75,96,91,83,86,87,92,85,95,95,80,98,86,83,87,85,0,0,83,92,86,98,100,0,0,81,92,86,98,89,92
90,97,87,99,97,94,96,95,92,91,91,87,95,98,94,96,88,98,88,92,87,88,98,0,89,92,88,92,100,93,93,90,92,90,98,91,92
96,95,87,92,92,96,83,92,78,87,85,87,92,89,85,95,84,98,83,90,92,88,98,0,88,90,89,92,95,0,91,85,92,85,87,91,92
85,92,92,90,87,80,75,84,75,76,91,87,78,92,87,81,81,87,81,90,92,85,100,94,69,88,85,87,95,84,85,80,76,73,66,60,87
80,86,0,87,83,90,87,76,77,87,84,92,84,92,81,78,79,87,72,90,82,77,97,0,86,82,72,83,75,91,0,81,92,80,87,96,87
83,82,0,83,82,97,90,74,71,87,92,87,92,95,78,69,77,87,60,87,73,79,97,85,88,78,77,70,70,78,0,71,83,73,79,79,87
84,90,87,78,86,71,65,76,70,85,80,87,92,88,81,90,68,98,87,92,81,86,97,83,85,72,78,98,95,96,89,83,83,86,87,96,83
69,0,92,88,85,95,96,92,79,81,87,92,92,94,77,94,84,98,89,92,96,89,100,94,87,92,94,92,95,0,0,83,92,74,87,80,92
86,97,87,94,89,92,86,91,91,88,91,92,88,97,95,86,80,92,77,92,93,92,95,94,76,60,69,92,95,60,85,76,87,87,87,82,83
94,87,83,89,93,91,63,81,77,81,86,83,79,93,83,65,81,92,86,92,66,60,0,70,66,60,62,92,95,62,65,68,83,70,83,0,83
73,91,87,95,71,97,84,78,72,83,82,83,92,93,87,95,80,98,80,92,84,82,91,0,82,80,78,92,81,0,73,70,87,73,98,78,87
71,77,90,74,61,90,77,61,63,76,73,98,87,93,68,61,62,92,87,83,73,71,0,82,76,83,61,92,70,0,78,68,76,68,88,89,73
85,0,83,87,80,91,87,87,84,91,90,87,95,90,86,69,81,98,76,87,90,79,0,92,91,77,84,76,95,89,0,80,73,71,92,79,87
80,87,87,85,76,81,74,66,69,85,85,87,83,85,81,84,68,98,66,92,90,89,95,89,84,83,80,92,95,84,83,78,87,80,92,83,79
85,88,87,91,81,96,92,81,77,82,89,76,95,91,87,96,82,98,83,92,88,85,97,86,87,92,87,83,97,88,88,81,87,73,98,92,83
95,96,87,97,95,83,63,99,87,80,94,87,96,90,87,95,83,98,89,83,87,84,0,0,92,87,86,92,95,84,93,84,92,81,87,91,87
72,83,87,84,84,73,86,62,72,61,87,87,76,66,70,67,84,87,84,92,77,83,89,94,71,72,78,83,95,85,88,69,70,62,92,81,66
90,86,87,94,77,77,86,85,75,82,87,83,91,82,91,83,93,92,70,98,74,74,100,84,77,84,73,92,95,78,0,77,79,78,98,80,87
81,91,92,0,72,70,79,80,80,71,71,92,92,76,0,85,77,92,80,92,71,73,97,89,70,83,62,92,100,0,78,67,83,74,87,84,79
93,90,87,96,86,98,89,93,78,91,88,87,96,95,94,89,84,98,84,92,86,87,96,89,90,84,92,98,100,96,97,83,92,86,92,89,87
