形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络
66,86,77,73,91,70,69,69,87,88,76
77,94,93,78,80,83,84,70,90,89,90
67,76,92,71,87,83,85,87,87,69,72
79,87,97,79,89,83,60,88,88,86,86
83,86,92,88,88,76,83,88,92,82,88
77,96,92,88,84,0,66,90,98,83,94
85,73,92,77,83,92,86,87,92,70,74
82,82,98,86,77,83,89,95,92,83,90
86,85,92,87,88,0,80,90,87,87,0
70,70,75,75,71,83,63,68,87,61,78
79,78,87,82,71,87,76,83,83,83,75
81,82,98,79,91,98,81,83,76,91,94
83,88,79,80,89,85,87,70,76,85,88
81,94,92,90,82,70,80,75,95,83,75
71,80,87,78,72,76,69,83,79,86,86
79,90,77,76,82,62,81,79,88,82,0
80,79,85,63,85,83,86,69,85,60,76
77,90,87,78,73,76,63,88,87,65,85
75,86,90,65,80,83,86,75,92,90,87
67,93,93,75,80,83,75,85,91,73,87
85,94,92,87,90,98,94,87,83,87,0
85,83,98,82,87,0,71,96,98,85,0
81,85,87,82,69,76,89,79,87,91,0
65,90,98,81,75,98,89,87,98,84,94
71,88,92,89,70,76,83,76,92,83,89
69,94,92,78,73,76,88,83,87,83,86
76,78,94,72,79,83,62,85,90,77,81
70,77,87,72,62,79,66,90,76,84,75
85,89,92,85,88,98,88,79,92,93,93
74,82,92,74,71,76,60,90,83,86,91
0,0,0,0,0,0,0,0,0,0,0
62,79,92,75,78,92,71,83,87,66,73
80,82,92,84,82,0,79,89,92,86,88
65,88,92,83,77,92,88,97,87,87,81
88,90,98,77,91,85,80,98,87,88,90
87,87,98,78,85,92,92,100,92,87,91
80,95,92,82,73,92,88,100,83,86,75
0,0,0,0,0,0,0,0,0,0,0
65,61,92,67,83,83,73,83,92,72,79
83,90,92,83,90,76,83,83,98,91,96
73,91,98,84,96,98,88,83,87,85,90
74,76,87,80,81,92,80,95,83,78,69
68,72,83,78,72,92,60,95,79,78,79
0,0,0,0,0,0,0,0,0,0,0
60,78,92,60,80,83,64,83,87,63,74
72,85,98,81,94,94,87,98,79,87,90
82,90,92,86,85,98,83,92,76,90,89
65,88,83,70,88,62,73,71,86,69,61
70,79,98,78,85,92,90,83,83,80,84
0,0,0,0,0,0,0,0,0,0,0
64,85,92,69,82,98,72,83,92,84,77
