电子技术基础,2019-2020-2,A8BE6F899711E4FDE0536A27F5DB1492,880c6bbd7f9e150174ee45caad34f7ce,EELC322804,2020-07-01,4.00,71.00,A,20210310,2021-03-10 17:22:01.000000,2020-06-23,01
计算机科学技术导论,2018-2019-2,8B474E05FE5403DCE0536B27F5DB2EBF,880c6bbd7f9e150174ee45caad34f7ce,COMP000105,2019-06-17,1.00,83.00,A,20210310,2021-03-10 17:22:01.000000,2019-06-17,01
概率统计与随机过程,2019-2020-2,A8AE57D7EA9B6DE8E0536A27F5DB0D81,880c6bbd7f9e150174ee45caad34f7ce,MATH201007,2020-06-23,4.00,76.00,A,20210310,2021-03-10 17:22:01.000000,2020-06-23,01
操作系统,2020-2021-1,B9B736887D1C33A9E0536A27F5DBA02D,880c6bbd7f9e150174ee45caad34f7ce,COMP461905,2021-01-25,4.00,96.00,A,20210310,2021-03-10 17:22:01.000000,2021-01-25,01
复杂网络动力学基础,2021-2022-1,D2761D0BCDCEA3F1E0536A27F5DBDC42,880c6bbd7f9e150174ee45caad34f7ce,COMP461105,2021-12-06,2.00,86.00,,,,2021-12-06,01
体育-3,2019-2020-1,9AC2CA8752914C06E0536A27F5DB8628,880c6bbd7f9e150174ee45caad34f7ce,PHED109250,2019-12-30,0.50,80.00,A,20210310,2021-03-10 17:22:01.000000,2019-12-29,01
嵌入式系统,2020-2021-2,C61ADFBAC0EF6890E0536B27F5DBF0BE,880c6bbd7f9e150174ee45caad34f7ce,COMP551905,2021-07-08,2.50,91.00,,,,2021-07-02,01
大学物理实验III2,2019-2020-1,9A61D7E2A5C17CC1E0536A27F5DB3014,880c6bbd7f9e150174ee45caad34f7ce,PHYS280309,2019-12-24,0.75,87.00,A,20210310,2021-03-10 17:22:01.000000,2019-12-24,01
毕业设计（论文）,2021-2022-2,E21DE5F956C05A7EE0536A27F5DB0FD7,880c6bbd7f9e150174ee45caad34f7ce,GRDE900200,2022-06-23,10.00,87.00,,,,2022-06-23,01
汇编语言,2019-2020-2,AA05521817737AD8E0536B27F5DB8AE1,880c6bbd7f9e150174ee45caad34f7ce,COMP551005,2020-07-10,2.50,84.00,A,20210310,2021-03-10 17:22:01.000000,2020-07-10,01
数据库系统,2020-2021-2,C687E6D8FBE7561FE0536B27F5DBE3DF,880c6bbd7f9e150174ee45caad34f7ce,COMP461405,2021-07-07,3.50,82.00,,,,2021-07-07,01
软件工程,2021-2022-1,D8FABBDC70673BDAE0536A27F5DBF674,880c6bbd7f9e150174ee45caad34f7ce,COMP461605,2022-03-13,3.50,68.00,,,,2022-02-27,01
计算机组成原理,2020-2021-1,B8D33F3B3F2C32BBE0536B27F5DBC4E6,880c6bbd7f9e150174ee45caad34f7ce,COMP461805,2021-01-18,3.50,80.00,A,20210310,2021-03-10 17:22:01.000000,2021-01-14,01
综合工程训练1,2019-2020-1,9B6375FF688AEF9CE0536A27F5DBEAE9,880c6bbd7f9e150174ee45caad34f7ce,ETRA300152,2020-01-07,1.00,92.00,A,20210310,2021-03-10 17:22:01.000000,2020-01-07,01
高等数学1,2018-2019-1,7E9CB8E498619E1FE0536A27F5DB15AD,880c6bbd7f9e150174ee45caad34f7ce,MATH291707,2019-01-05,6.00,70.00,A,20210310,2021-03-10 17:22:01.000000,2019-01-04,01
计算机科研习课,2020-2021-2,C553331909D74A14E0536A27F5DB6A39,880c6bbd7f9e150174ee45caad34f7ce,SCTR400405,2022-04-08,4.00,98.00,,,,2021-06-22,01
高等数学2,2018-2019-2,8B4711DB633D0DE4E0536B27F5DB78D3,880c6bbd7f9e150174ee45caad34f7ce,MATH292407,2019-06-15,6.00,71.00,A,20210310,2021-03-10 17:22:01.000000,2019-06-14,01
能源与人类文明发展,2018-2019-1,7B515438709402B7E0536B27F5DB63B6,880c6bbd7f9e150174ee45caad34f7ce,CORE100103,2019-01-02,2.00,87.00,A,20210310,2021-03-10 17:22:01.000000,2018-11-26,01
JAVA语言程序设计,2019-2020-2,A900A676728C8E21E0536B27F5DB7B00,880c6bbd7f9e150174ee45caad34f7ce,COMP550505,2020-06-27,2.00,70.00,A,20210310,2021-03-10 17:22:01.000000,2020-06-27,01
数据结构与算法A（拔尖班）,2018-2019-2,8BCF590050D5813FE0536A27F5DBDC9B,880c6bbd7f9e150174ee45caad34f7ce,COMP350405,2019-06-21,4.00,79.00,A,20210310,2021-03-10 17:22:01.000000,2019-06-21,01
24式太极拳,2020-2021-2,C4C5BE6D20D9CE79E0536B27F5DB06CA,880c6bbd7f9e150174ee45caad34f7ce,0H00200100,2021-06-24,0.00,0.00,,,,2021-06-15,02
伦理与人生,2018-2019-1,7CE4B2A3B9865500E0536B27F5DB0E2A,880c6bbd7f9e150174ee45caad34f7ce,MLMD190614,2018-12-15,2.00,89.00,A,20210310,2021-03-10 17:22:01.000000,2018-12-13,01
